Id,Movie
306,Wes Craven's New Nightmare
307,Friendly Persuasion
308,Cursed
309,Sirens
310,Adaptation
311,Three Kings
312,Cobb
313,Barcelona
314,The Final Cut
315,Romy and Michele's High School Reunion
316,The Bishop's Wife
317,Arsenic and Old Lace
318,Barbershop
319,Barbershop 2: Back in Business
320,M
321,Abe Lincoln in Illinois
322,Willy Wonka & the Chocolate Factory
323,The Poseidon Adventure
324,The Fox and the Hound
325,Fantastic Four
326,Honey
327,Sin City
328,Ocean's Twelve
329,Volcano
330,Traffic
331,The Misfits
332,Pollock
333,Dogma
334,MASH
335,Anger Management
336,Spanglish
337,Bulletproof
338,Big Daddy
339,The Princess Diaries 2: Royal Engagement
340,Signs
341,Speak
342,Dead End
343,Once a Thief
344,"All's Well, Ends Well Too"
345,"All's Well, Ends Well"
346,Double Tap
347,Rouge
348,"He's a Woman, She's a Man"
349,The Kid
350,Salome
351,Alexander
352,Master and Commander: The Far Side of the World
353,The Crow
354,Austin Powers: Goldmember
355,Sylvia
356,Possession
357,Hook
358,Hard Eight
359,Mrs. Parker and the Vicious Circle
360,Whiteout
361,Ring
362,Final Fantasy: The Spirits Within
363,Kiki's Delivery Service
364,Laputa: Castle in the Sky
365,The Rainmaker
366,Dune
367,Batman Beyond: Return of the Joker
368,Tucker: The Man and His Dream
369,Show Boat
370,Anchors Aweigh
371,Home Fries
372,The Shining
373,Roxanne
374,Savior
375,Fathers' Day
376,"Paris, Texas"
377,Cat People
378,High Voltage
379,Dragon: The Bruce Lee Story
380,Whatever Happened to Harold Smith?
381,Cold Mountain
382,Hercules
383,Robin Hood
384,The Battle of the River Plate
385,Scrooge
386,The Avengers
387,Eragon
388,Resident Evil: Apocalypse
389,Mujhse Dosti Karoge!
390,Topper
391,"Swing Out, Sister"
392,The Wizard of Oz
393,Lifeboat
394,Wake Island
395,Beauty and the Beast: The Enchanted Christmas
396,Beauty and the Beast
397,The Hunted
398,Coal Miner's Daughter
399,Man of the House
400,Rules of Engagement
401,Double Jeopardy
402,Heaven & Earth
403,Jude
404,Michael Collins
405,The Mission
406,Blink
407,Avalon
408,Benny & Joon
409,Rebirth of Fusion!! Goku and Vegeta!!
410,"Burn Up!! A Close, Intense, Super-Fierce Battle"
411,"Clash!! 10,000,000,000 Powerful Warriors"
412,"A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza"
413,Dead Zone
414,Day for Night
415,Jesus of Nazareth
416,Zulu
417,Tobruk
418,Kentucky
419,Red River
420,Come and Get It
421,Fury
422,Rio Bravo
423,How the West Was Won
424,The Island
425,The Lord of the Rings: The Fellowship of the Ring
426,Troy
427,National Treasure
428,Ronin
429,Caravaggio
430,Don't Say a Word
431,Win a Date with Tad Hamilton!
432,The Rules of Attraction
433,Beyond the Sea
434,Baby Boy
435,Starsky & Hutch
436,The Wash
437,Brigham Young
438,Vanishing Point
439,Twelve O'Clock High
440,Love Letters
441,"The Beast from 20,000 Fathoms"
442,Guess Who's Coming to Dinner
443,The Song of Bernadette
444,Beat the Devil
445,Gone to Earth
446,Love Is a Many-Splendored Thing
447,Scarface
448,Juarez
449,Macbeth
450,Aliens
451,Caravan of Courage: An Ewok Adventure
452,The Emperor's New Groove
453,The American President
454,"O Brother, Where Art Thou?"
455,Rounders
456,Collateral Damage
457,Fearless
458,State of Grace
459,Miller's Crossing
460,I Know Where I'm Going!
461,The Elephant Man
462,Weird Science
463,Commando
464,Mad Max 2: The Road Warrior
465,Sinkin' in the Bathtub
466,Les Miserables
467,That's Entertainment III
468,Love's Labour's Lost
469,Batman & Robin
470,Reign of Fire
471,Exorcist: The Beginning
472,Escaflowne
473,Pokamon: Legend Comes to Life
474,Intimacy
475,Small Faces
476,The Chronicles of Riddick: Dark Fury
477,Scream
478,Vampire Hunter D: Bloodlust
479,A Bug's Life
480,Robin Hood: Prince of Thieves
481,SLC Punk!
482,Star Trek III: The Search for Spock
483,Star Trek: The Motion Picture
484,Star Trek VI: The Undiscovered Country
485,Star Trek IV: The Voyage Home
486,Star Trek II: The Wrath of Khan
487,Star Trek V: The Final Frontier
488,Are We There Yet
489,Swept Away
490,Chopper
491,Morgan Stewart's Coming Home
492,Jackass: The Movie
493,CKY
494,Babe
495,Aladdin
496,Mickey's Twice Upon a Christmas
497,DuckTales the Movie: Treasure of the Lost Lamp
498,The Lawnmower Man
499,61*
500,3: The Dale Earnhardt Story
501,Enemy of the State
502,The Green Mile
503,Hans Christian Andersen
504,Strangers on a Train
505,Rope
506,Manhunter
507,Laura
508,Heaven Can Wait
509,Star Trek: Insurrection
510,Star Trek: First Contact
511,Star Trek: Generations
512,Star Trek Nemesis
513,Prizzi's Honor
514,Tales from the Crypt presents: Demon Knight
515,AVP: Alien vs. Predator
516,The Saint
517,Charlie's Angels: Full Throttle
518,Chicken Little
519,The Princess Bride
520,Winchester '73
521,S.O.B.
522,Lolita
523,Pete's Dragon
524,The Diary of Anne Frank
525,Diamonds
526,"Captain Newman, M.D."
527,Spartacus
528,The Last Tycoon
529,O
530,Dawn of the Dead
531,Impromptu
532,Peeping Tom
533,Silver Streak
534,Superman
535,Superman IV: The Quest For Peace
536,Skippy
537,I heart Huckabees
538,Wilde
539,Alfie
540,Bent
541,All the King's Men
542,Closer
543,A.I.
544,Evolution
545,Harold & Kumar Go to White Castle
546,Mackenna's Gold
547,Akira
548,The Last Unicorn
549,Point Blank
550,Glen or Glenda?
551,Dracula
552,The Lost World: Jurassic Park
553,Man on Fire
554,Fever Pitch
555,Hannibal
556,Casino Royale
557,Once Upon a Crime...
558,Darkness
559,Sleepover
560,Nowhere
561,Chameli
562,Asoka
563,Khabi Khushi Kabhi Gham
564,Free Willy 2: The Adventure Home
565,What About Bob?
566,Conspiracy Theory
567,The Portrait of a Lady
568,Saved!
569,Mandingo
570,"Dirty Mary, Crazy Larry"
571,Boris and Natasha
572,Jimmy Neutron: Boy Genius
573,Flower & Garnet
574,Blade: Trinity
575,The Jungle Book
576,Lilo & Stitch
577,Kinsey
578,French Kiss
579,Deterrence
580,Boys Don't Cry
581,The Gift
582,Spy Kids 2: Island Of Lost Dreams
583,John Carter of Mars
584,Garden State
585,The Dukes of Hazzard
586,Hearts of Darkness: A Filmmakers's Apocalypse
587,Swiss Family Robinson
588,The Pure Hell of St Trinian's
589,Excalibur
590,Edward II
591,National Lampoon's Christmas Vacation
592,Alice Doesn't Live Here Anymore
593,Wild at Heart
594,Monument Ave.
595,Vera Cruz
596,"Come Back, Little Sheba"
597,Gunfight at the O.K. Corral
598,"Sorry, Wrong Number"
599,Airport
600,The Osterman Weekend
601,His Majesty O'Keefe
602,The Devil's Disciple
603,Ulzana's Raid
604,Atlantic City
605,The Fast and the Furious
606,Timeline
607,The Skulls
608,The Brave Little Toaster
609,Cats & Dogs
610,Â¡Three Amigos!
611,Happiness
612,Mr. Destiny
613,Matilda
614,An American Tail: Fievel Goes West
615,Quintet
616,Enigma
617,Lenny
618,1941
619,Heavy Metal
620,Armed and Dangerous
621,Stripes
622,Suspicion
623,Bulldog Drummond's Secret Police
624,Spellbound
625,K-19: The Widowmaker
626,That Was Then... This Is Now
627,Revenge of the Nerds II: Nerds in Paradise
628,Orange County
629,Cabin Fever
630,Detroit Rock City
631,"The 5,000 Fingers of Dr. T"
632,Peter Pan
633,Only When I Laugh
634,Porky's
635,Witchfinder General
636,Pulp Fiction
637,Swing Kids
638,The Ten Commandments
639,Key Largo
640,Viva Villa!
641,Phantom of the Opera
642,Alien Nation
643,Cobra
644,The Order
645,Candy
646,Affliction
647,Maverick
648,Face to Face
649,Wild Strawberries
650,Twister
651,Endless Love
652,Crossroads
653,The Man Who Wasn't There
654,Cabaret
655,That's Dancing!
656,"New York, New York"
657,Cul-de-Sac
658,Vacation
659,Nothing Lasts Forever
660,Riding the Bullet
661,Downfall
662,The Serpent's Egg
663,Tombstone
664,Top Gun
665,Top Secret!
666,The Real McCoy
667,Spartan
668,Red Planet
669,Mangal Pandey: The Rising
670,East is East
671,The Brothers
672,The Preacher's Wife
673,The Temptations
674,My Boyfriend's Back
675,The Emperor's Club
676,Longshot
677,The Thin Red Line
678,The Count of Monte Cristo
679,The Rock
680,Frequency
681,Pay It Forward
682,Live from Baghdad
683,Collateral
684,King Arthur
685,Lara Croft Tomb Raider: The Cradle of Life
686,Three Colors: Red
687,History Is Made at Night
688,Anastasia
689,Dr. Dolittle 2
690,What's Eating Gilbert Grape
691,Jabberwocky
692,Morgan: A Suitable Case for Treatment
693,Oliver Twist
694,Doctor Dolittle
695,Where the Heart Is
696,Mask
697,Mermaids
698,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean"
699,El Norte
700,By Dawn's Early Light
701,Bad News Bears
702,St. Elmo's Fire
703,Mo' Better Blues
704,Alive
705,Crimson Tide
706,Pii±ero
707,Demolition Man
708,Catwoman
709,Robin Hood: Men in Tights
710,Cocoon: The Return
711,Cocoon
712,Vampires
713,Rugrats Go Wild!
714,The Flintstones
715,The Hurricane
716,Wilson
717,Stagecoach
718,Brazil
719,Stigmata
720,Barbarians at the Gate
721,Pirates of the Caribbean: Dead Man's Chest
722,Pirates of the Caribbean: The Curse of the Black Pearl
723,What a Girl Wants
724,Striptease
725,About Last Night
726,The Hunchback of Notre Dame
727,Ghost
728,Ali
729,Rappin'
730,BAADASSSSS!
731,Somewhere in Time
732,My Best Friend's Wedding
733,The Librarian
734,I'm All Right Jack
735,Private's Progress
736,Victim
737,Oh... Rosalinda!!
738,Madame X
739,Peyton Place
740,Super Mario Bros.
741,Ice Age
742,Romeo + Juliet
743,Carlito's Way
744,Moulin Rouge!
745,Revenge
746,Short Circuit
747,The Rose
748,Music Box
749,Bill & Ted's Excellent Adventure
750,Jersey Girl
751,Car Wash
752,Bill & Ted's Bogus Journey
753,A Christmas Carol
754,"Goodbye, Mr. Chips"
755,The Killing Fields
756,The Messenger: The Story of Joan of Arc
757,Making Mr. Right
758,Lawrence of Arabia
759,Ratatouille
760,What's New Pussycat?
761,Caligula
762,Murphy's War
763,Elizabeth: The Golden Age
764,The Replacements
765,Human Nature
766,Vanity Fair
767,Austin Powers:The Spy Who Shagged Me
768,Les Diaboliques
769,Ship of Fools
770,Sniper
771,The Alamo
772,Caveman
773,F/X
774,Something's Gotta Give
775,Sleeper
776,Marvin's Room
777,The Godfather Part III
778,Xanadu
779,That's Entertainment!
780,China O'Brien
781,Sneakers
782,Garfield
783,K-9
784,Thief
785,Pigs Is Pigs
786,I Haven't Got a Hat
787,Porky's Duck Hunt
788,"It's a Mad, Mad, Mad, Mad World"
789,Intermission
790,Trainspotting
791,Elizabeth
792,Gothic
793,The Keep
794,Into the West
795,Ghost Ship
796,P.S.
797,Point of No Return
798,Dungeons & Dragons
799,The Phantom of the Opera
800,Sense and Sensibility
801,Dante's Peak
802,Ocean's Eleven
803,The Longest Day
804,Ginger Snaps 2: Unleashed
805,Heaven's Gate
806,National Lampoon's Last Resort
807,What's the Worst That Could Happen?
808,Armageddon
809,Pearl Harbor
810,Contact
811,Strange Days
812,The Producers
813,"What's Up, Doc?"
814,Fargo
815,Major League
816,Heist
817,Fail-Safe
818,Charlie's Angels
819,Willard
820,Vision Quest
821,Gross Anatomy
822,Star Wars Episode V: The Empire Strikes Back
823,Batman: Mask of the Phantasm
824,Robotech: The Shadow Chronicles
825,Star Wars Episode VI: Return of the Jedi
826,Star Wars Episode IV: A New Hope
827,Piccadilly
828,The Thief of Bagdad
829,Shanghai Express
830,Dirty Rotten Scoundrels
831,Dick Tracy
832,The X Files
833,Eulogy
834,Mr. Holland's Opus
835,"Heaven Knows, Mr. Allison"
836,"Edward, My Son"
837,Hitch
838,Kiss of Death
839,"Now, Voyager"
840,House Party
841,Book of Shadows: Blair Witch 2
842,Boys Town
843,My Family
844,E.T. the Extra-Terrestrial
845,Voodoo Academy
846,Darling
847,The Manchurian Candidate
848,Night Watch
849,Celine et Julie vont En Bateau
850,Grease
851,The People vs. Larry Flynt
852,Pokamon: Destiny Deoxys
853,Pokamon: Lucario and the Mystery of Mew
854,Pokamon: Jirachi Wishmaker
855,Henry V
856,Mona Lisa
857,McLintock!
858,The Green Berets
859,The Searchers
860,El Dorado
861,In Harm's Way
862,Donovan's Reef
863,Rio Grande
864,The Cruel Sea
865,Waterloo
866,Wall Street
867,Julia
868,Cats Don't Dance
869,The Firm
870,Tales from the Darkside: The Movie
871,Crush
872,Peter's Friends
873,"Ladies and Gentlemen, The Fabulous Stains"
874,Under the Tuscan Sun
875,Unfaithful
876,Terminator 2: Judgment Day
877,In the Time of the Butterflies
878,Bottle Rocket
879,Police Academy 2: Their First Assignment
880,Police Academy
881,The Craft
882,Dodgeball: A True Underdog Story
883,Party Girl
884,Minority Report
885,The Contender
886,The Fly
887,Jurassic Park
888,Independence Day
889,Daredevil
890,Planet of the Apes
891,Antitrust
892,Doctor Who
893,Lady Caroline Lamb
894,Kingdom of Heaven
895,Atlantis: Milo's Return
896,Sink the Bismarck!
897,Pinky
898,The Farmer's Daughter
899,Blackadder: Back & Forth
900,Lost Horizon
901,Project X
902,Top Hat
903,Dirty Pretty Things
904,Mr. Saturday Night
905,Jacob's Ladder
906,Romeo and Juliet
907,Final Fantasy VII: Advent Children
908,Addicted to Love
909,Bad Boys
910,Aces High
911,Rugrats in Paris: The Movie
912,In & Out
913,Fallen
914,Outbreak
915,Don't Look Now
916,Six Degrees of Separation
917,Panic
918,Buffy the Vampire Slayer
919,Backdraft
920,Cross Creek
921,Percy
922,King Rat
923,The Boys from Brazil
924,Gone in Sixty Seconds
925,Rock Star
926,Roger & Me
927,Fahrenheit 9/11Â½
928,The Big One
929,Fahrenheit 9/11
930,Bad Girls
931,Singles
932,Point Break
933,Ararat
934,Under Siege 2: Dark Territory
935,Problem Child
936,King David
937,It
938,Tadpole
939,The Dreamer of Oz: The L. Frank Baum Story
940,King of Kings
941,The Singing Detective
942,Rush Hour
943,The Muppets' Wizard of Oz
944,Taxi
945,Sphere
946,Knife in the Water
947,Philadelphia
948,That Thing You Do!
949,Radio Flyer
950,Full Frontal
951,Blank Check
952,Hot Shots! Part Deux
953,Dumb & Dumber
954,Sabrina
955,The Fiendish Plot of Dr. Fu Manchu
956,Nirvana
957,Boiler Room
958,Lost in Translation
959,Heaven
960,House of Wax
961,Jaws
962,1984
963,Pillow Talk
964,Perfect Strangers
965,Cape Fear
966,Delicatessen
967,Uranus
968,Beethoven's 2nd
969,The Funeral
970,Wizards
971,Flesh & Blood
972,Clue
973,Die Hard: With a Vengeance
974,My Blue Heaven
975,What's Love Got to Do with It
976,Amy Stiller's Breast
977,Heavy Weights
978,Fame
979,Labyrinth
980,All the Queen's Men
981,Gandhi
982,Lost in Space
983,Quadrophenia
984,Atlantis: The Lost Empire
985,Homeward Bound: The Incredible Journey
986,Bongwater
987,Black and White
988,What the #$*! Do We Know!?
989,Divine Intervention
990,"From Time to Time/""De Temps en Temps"""
991,Topaz
992,The Philadelphia Experiment
993,Genevieve
994,Walker
995,Sweet Dreams
996,Agent Cody Banks 2: Destination London
997,Snake Eyes
998,The League of Gentlemen
999,Rushmore
1000,Rob Roy
1001,The Bourne Identity
1002,The Bourne Supremacy
1003,For Love of the Game
